"row ID","Round","Match","Scores"
"Row18","1","indonesia-england","0-0;0-0;0-1;0-2;0-3;1-3;1-4;1-5;2-5;2-6;3-6;4-6;4-7;5-7;5-8;6-8;6-9;6-10;7-10;8-10;9-10;10-10;10-11;11-11;11-12;12-12;12-13;12-14;12-15;13-15;14-15;15-15;15-16;16-16;16-17;17-17;18-17;19-17;20-17;21-17"
"Row19","1","japan-poland","0-0;0-0;1-0;1-1;1-2;2-2;3-2;3-3;3-4;4-4;4-5;5-5;6-5;7-5;7-6;8-6;8-7;9-7;10-7;10-8;10-9;10-10;11-10;11-11;12-11;12-12;12-13;12-14;13-14;13-15;13-16;13-17;14-17;15-17;15-18;16-18;17-18;18-18;18-19;19-19;20-19;20-20;21-20;22-20"
"Row20","1","japan-poland","0-0;0-0;0-1;0-2;1-2;2-2;3-2;4-2;5-2;6-2;7-2;8-2;8-3;9-3;9-4;10-4;11-4;12-4;12-5;13-5;13-6;13-7;13-8;13-9;14-9;15-9;16-9;17-9;18-9;18-10;18-11;19-11;19-12;20-12;21-12"
"Row21","1","hongkong-thailand","0-0;0-0;0-1;0-2;0-3;1-3;2-3;2-4;3-4;3-5;3-6;4-6;5-6;6-6;6-7;6-8;6-9;6-10;7-10;7-11;7-12;7-13;7-14;7-15;8-15;9-15;9-16;9-17;10-17;11-17;11-18;11-19;12-19;12-20;13-20;13-21"
"Row22","1","hongkong-thailand","0-0;0-0;0-1;1-1;2-1;2-2;2-3;2-4;2-5;2-6;3-6;4-6;4-7;5-7;6-7;7-7;8-7;8-8;9-8;9-9;10-9;11-9;11-10;11-11;12-11;12-12;13-12;14-12;14-13;15-13;15-14;16-14;17-14;18-14;19-14;20-14;21-14"
"Row23","1","hongkong-thailand","0-0;0-0;0-1;1-1;2-1;2-2;2-3;2-4;2-5;2-6;3-6;4-6;5-6;5-7;6-7;6-8;6-9;6-10;7-10;8-10;9-10;9-11;10-11;10-12;11-12;11-13;11-14;12-14;13-14;13-15;13-16;14-16;14-17;15-17;16-17;16-18;17-18;18-18;18-19;19-19;20-19;20-20;21-20;21-21;22-21;23-21"
"Row24","1","indonesia-china","0-0;0-0;1-0;1-1;2-1;3-1;3-2;4-2;5-2;6-2;7-2;8-2;9-2;10-2;10-3;10-4;11-4;11-5;12-5;12-6;12-7;12-8;12-9;13-9;13-10;13-11;13-12;14-12;15-12;15-13;16-13;16-14;17-14;18-14;19-14;20-14;20-15;21-15"
"Row25","1","indonesia-china","0-0;0-0;1-0;1-1;1-2;2-2;3-2;3-3;3-4;3-5;4-5;5-5;5-6;6-6;7-6;8-6;9-6;10-6;11-6;11-7;12-7;12-8;13-8;14-8;15-8;16-8;16-9;17-9;17-10;18-10;18-11;18-12;18-13;19-13;20-13;20-14;21-14"
"Row26","1","chinesetaipei-poland","0-0;0-0;0-1;0-2;0-3;0-4;0-5;1-5;2-5;2-6;3-6;3-7;3-8;4-8;5-8;6-8;7-8;8-8;9-8;9-9;10-9;11-9;11-10;12-10;13-10;14-10;15-10;15-11;16-11;16-12;17-12;18-12;19-12;19-13;20-13;21-13"
"Row27","1","chinesetaipei-poland","0-0;0-0;0-1;1-1;2-1;3-1;4-1;5-1;6-1;7-1;7-2;7-3;8-3;8-4;8-5;8-6;8-7;8-8;9-8;10-8;10-9;10-10;11-10;11-11;12-11;13-11;14-11;14-12;14-13;15-13;16-13;16-14;17-14;17-15;18-15;18-16;18-17;19-17;20-17;21-17"
